hair	feathers	eggs	milk	airborne	aquatic	predator	toothed	backbone	breathes	venomous	fins	legs	tail	domestic	catsize	type	name
no yes	no yes	no yes	no yes	no yes	no yes	no yes	no yes	no yes	no yes	no yes	no yes	discrete	no yes	no yes	no yes	discrete	string
																class	meta
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	4	no	no	yes	mammal	aardvark
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	4	yes	no	yes	mammal	antelope
no	no	yes	no	no	yes	yes	yes	yes	no	no	yes	0	yes	no	no	fish	bass
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	4	no	no	yes	mammal	bear
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	4	yes	no	yes	mammal	boar
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	4	yes	no	yes	mammal	buffalo
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	4	yes	yes	yes	mammal	calf
no	no	yes	no	no	yes	no	yes	yes	no	no	yes	0	yes	yes	no	fish	carp
no	no	yes	no	no	yes	yes	yes	yes	no	no	yes	0	yes	no	no	fish	catfish
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	4	no	yes	no	mammal	cavy
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	4	yes	no	yes	mammal	cheetah
no	yes	yes	no	yes	no	no	no	yes	yes	no	no	2	yes	yes	no	bird	chicken
no	no	yes	no	no	yes	yes	yes	yes	no	no	yes	0	yes	no	no	fish	chub
no	no	yes	no	no	no	yes	no	no	no	no	no	0	no	no	no	invertebrate	clam
no	no	yes	no	no	yes	yes	no	no	no	no	no	4	no	no	no	invertebrate	crab
no	no	yes	no	no	yes	yes	no	no	no	no	no	6	no	no	no	invertebrate	crayfish
no	yes	yes	no	yes	no	yes	no	yes	yes	no	no	2	yes	no	no	bird	crow
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	4	yes	no	yes	mammal	deer
no	no	yes	no	no	yes	yes	yes	yes	no	no	yes	0	yes	no	yes	fish	dogfish
no	no	no	yes	no	yes	yes	yes	yes	yes	no	yes	0	yes	no	yes	mammal	dolphin
no	yes	yes	no	yes	no	no	no	yes	yes	no	no	2	yes	yes	no	bird	dove
no	yes	yes	no	yes	yes	no	no	yes	yes	no	no	2	yes	no	no	bird	duck
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	4	yes	no	yes	mammal	elephant
no	yes	yes	no	yes	no	no	no	yes	yes	no	no	2	yes	no	yes	bird	flamingo
no	no	yes	no	no	no	no	no	no	yes	no	no	6	no	no	no	insect	flea
no	no	yes	no	no	yes	yes	yes	yes	yes	no	no	4	no	no	no	amphibian	frog
yes	no	no	yes	yes	no	no	yes	yes	yes	no	no	2	yes	no	no	mammal	fruitbat
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	4	yes	no	yes	mammal	giraffe
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	2	no	yes	yes	mammal	girl
no	no	yes	no	yes	no	no	no	no	yes	no	no	6	no	no	no	insect	gnat
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	4	yes	yes	yes	mammal	goat
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	2	no	no	yes	mammal	gorilla
no	yes	yes	no	yes	yes	yes	no	yes	yes	no	no	2	yes	no	no	bird	gull
no	no	yes	no	no	yes	no	yes	yes	no	no	yes	0	yes	no	no	fish	haddock
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	4	yes	yes	no	mammal	hamster
yes	no	no	yes	no	no	no	yes	yes	yes	no	no	4	yes	no	no	mammal	hare
no	yes	yes	no	yes	no	yes	no	yes	yes	no	no	2	yes	no	no	bird	hawk
no	no	yes	no	no	yes	yes	yes	yes	no	no	yes	0	yes	no	no	fish	herring
yes	no	yes	no	yes	no	no	no	no	yes	yes	no	6	no	yes	no	insect	honeybee
yes	no	yes	no	yes	no	no	no	no	yes	no	no	6	no	no	no	insect	housefly
no	yes	yes	no	no	no	yes	no	yes	yes	no	no	2	yes	no	no	bird	kiwi
no	no	yes	no	yes	no	yes	no	no	yes	no	no	6	no	no	no	insect	ladybird
no	yes	yes	no	yes	no	no	no	yes	yes	no	no	2	yes	no	no	bird	lark
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	4	yes	no	yes	mammal	leopard
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	4	yes	no	yes	mammal	lion
no	no	yes	no	no	yes	yes	no	no	no	no	no	6	no	no	no	invertebrate	lobster
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	4	yes	no	yes	mammal	lynx
yes	no	no	yes	no	yes	yes	yes	yes	yes	no	no	4	yes	no	yes	mammal	mink
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	4	yes	no	no	mammal	mole
yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	4	yes	no	yes	mammal	mongoose
